art_id,text
1de71333-e9bd-486f-877e-0aadbcc67a67,"A gym fanatic was left trapped under weights for 33 minutes while he waited for emergency services to free him.

The man, aged between 25 and 35, was working out at Snap Fitness in Spring Hill, Brisbane, Australia at 5:47 am on Thursday when he got into trouble.

Firefighters did not arrive until 6:20 am to rescue him, with paramedics arriving shortly afterward. It took six minutes to extract the man from under the weights.

By this point, the man was unconscious and required CPR.

He was taken to Royal Brisbane and Women’s Hospital in critical condition.

There were no staff at the 24-hour gym at the time and the man had to be helped by bystanders.

A man was trapped under weights for over half an hour before being transported to the hospital. Getty Images/iStockphoto

“His injury happened while doing a seated overhead press in a Smith machine,” a gym member wrote online.

“Didn’t seem life-threatening to begin with, although serious enough to call an ambulance.

“But it took about 10 to 15 minutes for it to get really serious, that is ‘he-is-now-unconscious-start-CPR-now’ serious.”

Smith machines are designed to allow gym-goers to lift barbells without a spotter.

Snap Fitness is open all hours every day, but there are only staff on site between 10 am and 7 pm Monday to Thursday, and 9 am to 2 pm on Fridays.

Queensland Police said the incident was “not a criminal matter”."
801033b5-fca2-4247-bd36-713931b00384,"Central California’s Fresno Chaffee Zoo has welcomed a new African elephant to its herd, officials announced this weekend.

The zoo said Saturday that visitors will be able see the bull named Mabu on the savanna at its African Adventure exhibit.

Mabu, is the Fresno Chaffee Zoo’s new African elephant added to its herd. Fresno Chaffee Zoo/Facebook

Mabu was added to the herd on recommendation of the African Elephant Species Survival Plan, which is designed to maintain healthy, genetically diverse and stable species within participating zoos.

General Curator Lyn Myers said in a statement that Mabu has sired several elephant calves “and we look forward to seeing how he and our two females interact with each other” in the hope that they’ll produce offspring.

Mabu joins two female African elephants, a 24-year-old named Nolwazi and her 9-year-old daughter, Amahle, in the zoo’s 13-acre elephant exhibit, the Fresno Bee reported.

Mabu replaces another male elephant, Vus Musi, who was relocated to another participating zoo as part of the Species Survival Plan."
b5161454-4cfa-4a54-bbbb-0b748fb35b57,"Central California's Fresno Chaffee Zoo has welcomed a new African elephant to its herd, officials announced this weekend.

The zoo said Saturday that visitors will be able see the bull named Mabu on the savanna at its African Adventure exhibit.

Mabu was added to the herd on recommendation of the African Elephant Species Survival Plan, which is designed to maintain healthy, genetically diverse and stable species within participating zoos.



GERMAN SHEPHERD UP FOR ADOPTION IN HAMPTONS AFTER HE WAS FOUND ‘EMACIATED AND AFRAID’

General Curator Lyn Myers said in a statement that Mabu has sired several elephant calves ""and we look forward to seeing how he and our two females interact with each other"" in the hope that they'll produce offspring.

CLICK HERE TO GET THE FOX NEWS APP

Mabu joins two female African elephants, a 24-year-old named Nolwazi and her 9-year-old daughter, Amahle, in the zoo’s 13-acre elephant exhibit, the Fresno Bee reported.

Mabu replaces another male elephant, Vus Musi, who was relocated to another participating zoo as part of the Species Survival Plan."
1686ba85-3eb4-4499-bc32-28b86df8bfed,"Dr. Jordan Peterson has hit back at Meghan Markle after she took a swipe at him in her podcast.

Last month, the Duchess of Sussex took a swipe at the controversial psychologist on her Spotify series “Archetypes” over his use of the word “crazy.”

The former “Suits” actress featured an audio clip of the self-help author saying: “I don’t think that men can control crazy women.”

During an interview with “Piers Morgan Uncensored,” Peterson was asked how he felt about appearing on the duchess’s podcast as a “villain.”

“Her voice drips with the same falsehood that the voice of Kamala Harris drips with,” he told the Sky News host.

Jordan Peterson slammed Megan Markle on Piers Morgan’s show. Piers Morgan Uncensored

“It’s this sanctimonious, faux compassionate, talking down to her audience.”

While appearing to impersonate the royal, Peterson drew laughs from Morgan as he continued: “Trying to be sure that we’re all really on the same compassionate page here and we’re all being victimized by terrible forces that are arrayed against us and none of that’s really fair.”

“It just grates on me,” he said.

“And I do believe that it is the case that it’s very difficult to control female anti-social behavior often of the type that’s been pilloried as hysterical and I think that there is no shortage of clinical evidence to support precisely that claim.

“It’s very difficult for women to control female anti-social behavior and females who are anti-social that feminine pattern is reputation salvaging under the guise of compassionate care and it’s extraordinarily destructive, so I stand by my words.”

Meghan Markle attacked Jordan Peterson on her podcast. Getty Images for Invictus Games

This is not the first time Peterson has been criticized.

Back in September, actress Olivia Wilde made comments about the psychologist.

Speaking with Interview Magazine about her latest film, “Don’t Worry Darling,” the filmmaker explained the character Frank played by Chris Pine was based on the Canadian author.

“We based that character on this insane man, Jordan Peterson, who is this pseudo-intellectual hero to the incel community,” she told the outlet.

The star explained that incels are “disenfranchised, mostly white men who believe they are entitled to sex from women.”

Jordan Peterson called Meghan Markle “sanctimonious.” Piers Morgan Uncensored

“This guy Jordan Peterson is someone that legitimizes certain aspects of [the incel] movement because he’s a former professor, he’s an author, he wears a suit, so they feel like this is a real philosophy that should be taken seriously.”

Peterson broke down in tears during an interview with “Piers Morgan Uncensored” after discussing Wilde’s comments.

“This insane man, this pseudo-intellectual hero to the incel community, incel being these weirdo loner men who are despicable in many ways. Is that you? Are you the intellectual hero to these people?,” the broadcaster asked.

“Sure, why not. People have been after me for a long time because I have been speaking to young men, what a terrible thing to do,” Peterson replied.

It was at that point that the controversial commentator broke down in tears.

“I thought the marginalized were supposed to have a voice?,” he said."
42220047-a80e-4e07-91d5-eadc78e5c430,"We use your sign-up to provide content in ways you've consented to and to improve our understanding of you. This may include adverts from us and 3rd parties based on our understanding. You can unsubscribe at any time. More info

Meghan Markle’s voice ""drips"" with ""falsehood"", according to psychologist Jordan Peterson, who has been interviewed after appearing in a soundbite during her podcast. Dr Peterson’s voice appeared in an episode discussing the use of labels such as “crazy”, “hysterical” or “nuts” in reference to women.

Meghan Markle top choice for President – but would get rude awakening

Harry and Meghan 'convinced' they are 'blessed' with Diana's magic

After introducing the topic, the Duchess, 41, switches to a clip of Dr Peterson, 60, saying: “I don't think that men can control crazy women.”

The Canadian was asked about this during an interview with Piers Morgan Uncensored on Talk TV.

In response to being involved in the episode of Archetypes on Spotify, which Morgan describes as playing a “villain” role, Dr Peterson shared his opinion of Meghan. He said: “Her voice drips with the same falsehood that the voice of Kamala Harris drips with.

“It's this sanctimonious, faux compassionate, talking down to her audience.""

He then drew laughs from Piers Morgan imitating the Duchess, his own voice high-pitched in tone."
5da8b671-8d1b-4c96-8996-286536e93dba,"As the midterm results rolled in Tuesday night, and the ""red wave"" long hoped for by Republicans had not materialized, many pundits and journalists across the spectrum pointed their fingers at former President Trump.

As several Trump-backed candidates in major races lost or lagged behind other Republicans in their states, a consensus appeared to emerge that Trump had a bad night, although it was still up in the air whether Republicans would re-capture the House and Senate.

Former Obama campaign strategist David Plouffe said on MSNBC, ""I think you have to say Donald Trump has now presided over two disastrous midterm elections."" In his only one as president in 2018, Trump's party lost control of the House, although it gained U.S. Senate seats thanks in part to a favorable map. In 2022, Republicans appeared poised to make huge gains and seize control of both chambers of Congress, but in the early hours of Wednesday morning, it still remained unclear if they would even take control of the House, a seemingly unthinkable proposition last week.

""Given the history of presidents in power, Democrats controlling all of Washington, inflation, this should’ve been a much stronger night for Republicans,"" Plouffe said. ""A bunch of reasons for that. But at the top of them is Donald Trump. He’s deeply unpopular, he supported a bunch of horrible Senate candidates who may end up coughing up the football here.""

2022 MIDTERM ELECTIONS: LIVE UPDATES

MSNBC's Chris Hayes said Republicans ascribed to Trump a ""totemic power he does not have"" and he had ""screwed"" his own party.

""He is unpopular. He is unpopular,"" Hayes said. ""He screwed you today. Screwed you. It's not the full story… but it is part of the story, and the sooner you dump him, the better it is for the Republican Party and American democracy, full stop.""

ABC's Jonathan Karl said it was still unclear who would control the chambers of Congress for the next two years, but declared Trump the goat.

""What I can tell you is the biggest loser tonight is Donald Trump,"" Karl said.

On CNN, conservative commentator Scott Jennings offered a rather blunt analysis of the night, juxtaposing the performance of Trump-backed candidates across the country with Florida Gov. Ron DeSantis, R., a potential 2024 contender who romped to a landslide re-election on Tuesday.

""There's a potential narrative out of this night that if you're a discerning Republican voter trying to figure out the future, direction of this party, we once again learn that Trump is not a national winner for the Republicans,"" the GOP pundit told the panel. ""But DeSantis may be the next evolution of someone who can marry what you like about Trump but also recover some people that went away from the party during Trump.""

TWITTER USERS MOCK MSNBC ANALYST FOR CASTING DOUBTS ON GEORGIA ELECTION: ‘DENIALISM, MAN’

In Georgia, Herschel Walker looked like he would not outright defeat Sen. Raphael Warnock, D-Ga., on Tuesday, despite Gov. Brian Kemp, R., already easily beating Democrat Stacey Abrams in his re-election bid. Trump enthusiastically backed Walker while he famously feuded with Kemp over his 2020 election defeat in Georgia.

Trump-supported Doug Mastriano was dispatched handily by Pennsylvania Democrat Josh Shapiro in the state's governor's race, and Dr. Mehmet Oz, another Trump candidate, lost to Democrat John Fetterman in Pennsylvania's closely watched Senate race.

Republicans also lost the New Hampshire Senate race with Don Bolduc unable to oust Sen. Maggie Hassan, D-N.H., and prominent Trump supporters in the House, like Rep. Mayra Flores, R-Texas, were defeated on Tuesday.

In one bright spot for Trump, Republican JD Vance defeated Rep. Tim Ryan, D-Ohio, in Ohio's Senate race. Trump supporters touted the party's wins in Florida and Ohio, formerly swing states Trump won in both 2016 and 2020, as proof he helped make them into red states.

JEN PSAKI ROASTED FOR CLAIMING SPANISH LANGUAGE ‘DISINFORMATION’ HELPED GOP IN FLORIDA

However, Jennings said DeSantis should tout his 20-point victory as a ""way to a national majority.""

""Boy, if I were Ron DeSantis, or someone who wanted to help her understand this, that is the message I would be on tomorrow, which is ‘My way is the way to a national majority. His way is the way to a national minority,'"" Jennings said.

MSNBC's Jen Psaki, formerly of the Biden White House, said Republicans ""have a [T]rump problem,"" while The Atlantic's Tim Alberta said DeSantis should not let Trump ""bluff him out of running for president"" and should be considered a favorite to win the nomination in 2024.

Various conservative voices also cast blame on Trump as the results came in and fumed over the poor showing for Republicans.

CLICK HERE TO GET THE FOX NEWS APP

Trump himself commented about tonight's results, declaring it a ""great evening"" and claimed the news media was trying to downplay it.

""174 wins and 9 losses, A GREAT EVENING, and the Fake News Media, together with their partner in crime, the Democrats, are doing everything possible to play it down. Amazing job by some really fantastic candidates!"" Trump posted on his social media site Truth Social."
5ddc1c89-2bff-4def-89e8-d789d610aaf7,"After a confusing night of contradictory election information, the battle for control of Congress wasn’t settled when the sun came up.

Everyone in the media was bracing for the red wave that was going to carry Republicans to victory, but it turned out to be a slow tide. It’s still possible that the GOP will wind up controlling both houses of Congress, but only narrowly.

The upset of the night had to be John Fetterman beating Mehmet Oz in Pennsylvania, despite his disastrous debate, as Democratic voters decided to rally behind the recovering stroke victim. That flip of a Senate seat balanced J.D. Vance beating Tim Ryan in Ohio, leaving control of the chamber undecided.

A Republican takeover of the House remains very likely, but Kevin McCarthy may not have the 30-seat margin that many had predicted, raising questions about the polling and the punditry. It’s clear that having finally accepted the notion of a Democratic drubbing in the final weeks of the campaign, the media may have missed a more competitive election than everyone expected.

AOC AND THE ‘SQUAD’ SET TO WELCOME NEW MEMBERS AFTER PROGRESSIVE WINS IN MULTIPLE STATES

What follows is a timeline of one crazy night of cable news coverage.

It was a whole lot of ""too early to call"" in the early hours. That’s hardly surprising, especially in the key Senate races, where the Real Clear Politics average had most of them within one percentage point or sometimes as tight as 0.4 percent.

But the blizzard of raw vote totals was hard to follow and highly misleading, with 7 or 8 percent of precincts reporting. It all depended on which parts of which state were reporting.

So in the crucial Georgia race, Sen. Raphael Warnock was ""ahead"" with 74 percent of the vote to 24 percent for Herschel Walker. Stacey Abrams, who would go on to lose for governor, was also leading incumbent Brian Kemp. So these figures were beyond meaningless.

Further complicating the coverage, with record early voting, was how and when mail-in ballots were counted. In Pennsylvania, for instance, the state is required to count mail-in ballots only after the same-day results are reported. That would mean the Democratic-leaning mail ballots will come in much later, boosting Fetterman. But there would be nothing suspicious about that.

POTENTIAL RED WAVE TURNS INTO TRICKLE IN DISAPPOINTING MIDTERM ELECTIONS FOR REPUBLICANS

It was eye-glazing at times, as the anchors and commentators kept cautioning viewers not to put much stock in the blur of numbers on their magic walls.

While virtually everyone expected a GOP takeover of the House–even President Biden told reporters the House would be ""tough""--the cable networks had to go district by district to confirm that Republicans had taken control with 218 seats.

At 8 p.m. eastern, it was another round of ""too early to call."" Too early in the Pennsylvania Senate race. Too early to say whether New Hampshire Sen. Maggie Hassan could hang on against Republican retired military man Don Bolduc.

Still too early to call in Georgia, where there could be a runoff if Walker or Warnock doesn’t get over 50 percent.

Only the blowout races warranted projections, including Ron DeSantis, who cruised to a landslide victory over Charlie Crist in Florida, and Marco Rubio, as well as Sarah Huckabee Sanders in Arkansas.

The pattern continued at 9. Too early to call the race between Arizona Sen. Mark Kelly and Republican challenger Blake Masters. Same with New York Gov. Kathy Hochul and Michigan Gov. Gretchen Whitmer. Too early! Too early! Too early! It was repeated like a mantra.

I’ve never seen an election night where so much effort was spent explaining things away. This doesn’t mean anything because the same-day vote hasn’t come in. That doesn’t mean anything because these Republican strongholds haven’t come in. This doesn’t mean anything because it’s too lopsided. Don’t believe your eyes. It was like a hall of mirrors.

NEVADA GOP REP. MARK AMODEI SWEEPS DEMOCRATIC CHALLENGER FOR 7TH TERM

At 10, when the polls closed in Nevada, it was–repeat after me–too early to call. That state’s Senate race offered Republicans perhaps their best shot at a takeaway, with Republican Adam Laxalt taking on Democratic Sen. Catherine Cortez Masto. In Georgia, Walker had taken the lead over Warnock, 49.6 to 48.5 percent, despite plenty of doomsaying about how he was running behind Gov. Kemp. So there were all these nail-biters, now dubbed ""too close to call.""

Perhaps that’s why the New York Times published tips for people (meaning Democrats) to stay calm, such as ""breathe like a baby"" and ""plunge your face into a bowl with ice water.""

When NBC projected that Maggie Hassan would hold onto her Senate seat in New Hampshire, Democrats breathed a sigh of relief.

With embattled Democrats holding onto key House districts, such as Abigail Spanberger in Virginia, there was growing talk–especially on MSNBC, but on the other channels as well–that a red wave had not materialized. And yet that didn’t mean the Republicans wouldn’t wind up winning control of both houses of Congress.

By 11, even Sen. Patty Murray’s reelection bid in Washington state was deemed too early to call. Other races continued to tighten. Herschel Walker was still slightly ahead in Georgia and John Fetterman in Pennsylvania, where the counting would continue for hours. No calls could be made about the House. But the night was young, and Democrats such as Kathy Hochul would eke out victories after seeming threatened.

ELECTION DAY 2022 IS OVER; READY OR NOT, HERE COMES 2024 WHITE HOUSE RACE

For what it’s worth, Fox coverage was led by journalists Bret Baier and Martha MacCallum, and CNN coverage was led by journalist Jake Tapper (not Wolf Blitzer, for the first time in almost two decades). But MSNBC went with an all-liberal panel led by Rachel Maddow.

Then there was the Trump factor. On election eve, Donald Trump faked out the media by having the word spread that he was going to announce his candidacy at an Ohio rally so he could take credit for the midterms.

He told his advisers he was strongly considering it, and they told reporters, and many Republicans were upset at the notion that it could boost Democratic turnout yesterday. Trump sounds out advisers on a lot of things he doesn’t wind up doing, but it’s moot because he’s now teasing a ""major announcement""--next Tuesday.

In an interview with NewsNation, Trump said of the Republicans: ""Well, I think if they win, I should get all the credit – and if they lose, I should not be blamed at all. But it’ll probably be just the opposite. When they win – I think they’re gonna do very well – I’ll probably be given very little credit even though in many cases I told people to run.""

Trump, who plans to announce next week–he warned DeSantis not to run for president after his lawyer said that would be ""career suicide""–is going to draw constant coverage, as he has in his post-presidency (in part because MSNBC and CNN love the ratings boost).

At the Ohio rally, Trump called Nancy Pelosi an ""animal,"" and he was not joking–the crowd actually cheered. He recalled a previous conversation where the House speaker asked him not to refer to illegal immigrants as animals, and then revelled in crossing that line.

SPLIT ELECTION RESULTS FOR TRUMP-BACKED CANDIDATES IN KEY RACES WHILE DESANTIS WINS BIG

Pointing to the ""fake"" media, the former president said: ""They’ll say, ‘What a horrible thing. He called Nancy Pelosi an animal.’"" He also called her ""Crazy Nancy Pelosi.""

Does he not have a scintilla of sympathy for the fact that her husband was almost murdered in that hammer attack? Is this the time to be calling her that dehumanizing name?

In an emotional interview with CNN’s Anderson Cooper, Pelosi tied the attack on her husband Paul to Jan. 6 and said both were ""fueled by misinformation.""

CLICK HERE TO GET THE FOX NEWS APP

She choked up while recalling how the Capitol Police banged on her door about 5 a.m. to say Paul had been attacked, and at that moment, they didn’t know where he was or what his condition was.

Her 82-year-old husband faces a long period of recovery. Asked whether she would retire if Republicans win the House, she said the attack would be a factor in her thinking–and we can all figure out what that means."
62f34b66-ea5c-450c-a871-6975538a21f9,"We use your sign-up to provide content in ways you've consented to and to improve our understanding of you. This may include adverts from us and 3rd parties based on our understanding. You can unsubscribe at any time. More info

Covid strains have started spreading as a "" variant soup "", with cases accelerating across Europe, Australia and China. Health experts have warned Omicron 's ""grandchildren"" are now filling the gaps where the previous variant was once rampant. A health specialist raised the fears as the UK sees Covid cases rise in late 2022.

Common side effects to expect after getting your Covid booster jab

China played us brilliantly - she's got us blaming ourselves

Australian infectious disease specialist Dr Paul Griffin said the world must now tackle the various offspring of Omicron as Covid remains ever-present in most countries.

Speaking to morning show Sunrise, he warned people to take their updated vaccines as a series of new variants surge across the planet.

He named several variants he was ""watching closely"", including emerging strains XBB and BQ.

Dr Griffin explained those two are among Omicron's ""most concerning"" offspring in circulation.

READ MORE: Discolouration in your feet is 'early' warning sign of Covid - expert"
62d3450d-396c-4b43-9f5b-333f67295804,"CCTV footage has captured the moment a brazen thief stole a pet dog outside a Docklands restaurant before scampering out of sight with the beloved animal.

A police probe has been launched after five-year-old Shih tzu Angel was taken from Bourke Street around 8:30 p.m. on Saturday.

The surveillance footage shows a man approaching the dog outside a popular restaurant and patting it while diners sit inside.

He then removes the dog’s leash from the pole and quickly picks the animal up while fleeing.

Melbourne West police have released the footage of the man and videos of the dog, who had just received a haircut, in a bid to find the alleged offender.

Previous 1 of 2 Next Police describe the man as being Indian subcontinental in appearance with black curly hair and a black beard. The man was last seen walking south along the Bourke Street waterfront carrying Angel.

Police describe the man as being Indian subcontinental in appearance with black curly hair and a black beard.

He was wearing a bandana as a headband, a black long sleeve polo top with a white stripe on the collar over a white shirt, and light jeans with large horizontal rips across the knees and sneakers.

A spokesman for Victoria Police said the man was last seen walking south along the Bourke Street waterfront carrying Angel.

5-year-old Shih tzu Angel was taken from Bourke Street around 8:30 p.m. on Saturday.

Investigators would like to speak to anyone who has either purchased or seen the Shih tzu through social media or online marketplaces.

Anyone with information about Angel’s whereabouts is urged to come forward or contact Crime Stoppers on 1800 333 000."
43b08f50-355f-46ff-8851-b0db1c966f8b,"A woman has praised her dog for saving her life during a vicious kangaroo attack.

Pam Baldwin, 71, was walking her rottweiler, Bundy, at Albury Wodonga on the NSW-Victoria border when the incident happened.

The attack left her with bruises to her stomach and a deep gash on her arm.

She had been heading to a friend’s house at the time, along Nail Can Hill, when she sensed something behind her.

She turned to see a large kangaroo.

“It was a traumatic experience,” she told Channel 9’s Today.

“I just had the feeling someone was behind me, and I’ve turned around and you wouldn’t want to know what I said. And I’ve just looked up at these eyes and this nose and the next minute he’s just gone bang with his two back legs.

“I gave him a few choice words.”

Pam said that while people underestimate rottweilers, Bundy is the fifth rottweiler she’s had, and she praised his actions.

Pam Baldwin, 71, was walking her rottweiler, Bundy, when the incident happened. Today/Channel 9

“I wouldn’t have another dog; he almost lost his life for me.

“He was within 20 to 40 seconds of being drowned because the kangaroos lead them into a dam if there’s one around.”

She said in the end her friends managed to scare off the roo with some long poles.

She believes kangaroos are becoming more problematic around her area, however she has found it difficult to get help.

“I went to the council and reported it. They didn’t want to know me,” she said.

“People take their children, ladies push their babies in a pram. What if it was one of them?”

She said people don’t realise how dangerous kangaroos can be.

“They are deadly,” she said.

Last month, a kangaroo killed a man in West Australia’s south, in the country’s first fatal kangaroo attack in more than 85 years.

It is believed the 77-year-old was attacked by the marsupial at his Redmond property, near Albany. Emergency services were called to the scene, but the kangaroo prevented paramedics from accessing the property.

The attack left her with bruises to her stomach and a deep gash on her arm. Today/Channel 9

Australian Reptile Park life science manager Hayley Shute said it was important to show respect around wild animals and remember how dangerous male kangaroos could be.

“The public sort of see kangaroos and koalas as fluffy, cuddly animals. I think it’s just important to note that they are wild animals and there’s a level of respect you have to give them,” she told NCA NewsWire.

“The icon, that picture of an Australian kangaroo, is usually a female kangaroo with a joey sticking his head out of the pouch and they look so cute and sweet.

“But male kangaroos, part of their life and hierarchy within the mob is to take on the male that’s bigger than it. There’s a struggle there to become the alpha male and that’s part of a male kangaroo’s life and behavior.

“At any point, these males are going to take on a threat to it and it’s a behavioral instinct for them.”

Ms Shute said she was not surprised that a male kangaroo could kill a man given their nature, size and strength.

“I don’t have the details of this specific case so I wouldn’t like to speculate, but it’s definitely not surprising that a male kangaroo could cause injuries such as this because they are so strong,” she said."
