art_id,text
dcb2bafc-ec77-461d-a95f-d3336fdf8633,"#greenscreen ahh the hate I know I’m going to get from this🤣🙃 #funpolice #girlcop #immadelight #childsafety #svu

A cop who specializes in child sex crime has gone viral after sharing the strict rules she has for her own kids in order to keep them safe from pedophiles.

Terra Avilla, who goes by the user name thegirlcop on TikTok, regularly shares informative content relating to child abuse and domestic violence.

But the mom of three’s latest advice really got people talking, as she detailed the five things her kids are banned from doing for their own protection over two videos.

Avilla, who is based in Connecticut, said while some of the tips might be “surprising,” they were based on years of on-the-job experience.

And as a result, her top rule was to forbid her kids from attending sleepovers.

Child sex crime investigator and mother Terra Avilla said she doesn’t allow her own children to have sleepovers due to safety risks. TikTok/@thegirlcop

“I get a lot of hate for this,” she said in her first video, but explained the popular activity was not worth the risk.

“You don’t know who’s there, or who could slip in during the night,” she added.

Number two was barring her kids from using Snapchat, given the high number of predators that use the popular app to prey on young victims.

She also revealed the app was especially risky as a users location can be viewed, and because children mistakenly believed photos sent over the platform would be permanently deleted.

“Nothing good comes from this app,” was her bleak assessment of Snapchat.

Avilla also doesn’t let her kids use Snapchat. TikTok/@thegirlcop

Thirdly, the officer said she never forces her children to hug and kiss anybody – including family and friends.

She said it was important that children understand only they can consent to physical contact.

“I know that sounds really mean but it’s their body and if they don’t want to give a hug goodbye then they have the right to do that and to set boundaries,” she said.

The first three rules attracted an outpouring of interest, inspiring her to share a follow up clip.

In the second video, she said secrets were outlawed in her household.

“There’s a big difference between having a secret and keeping a surprise. Kids need to learn that an outside adult shouldn’t be telling a child to keep a secret,” she said, but added the caveat that it was acceptable to keep a secret for a friend if it would keep them safe from harm.

And lastly, she said she won’t allow her children to use “silly names for their private parts,” insisting they use the correct anatomical terms.

That way, it’s easier to explain a situation to authorities if something does ever go wrong.

The videos were flooded with comments, with countless parents expressing their gratitude for the safety list.

“Pediatric ER doctor child safety expert and mum here, and I agree with every part of this,” one TikTok user wrote, while another added: “I feel the same about sleepovers, never gonna happen.”"
b06bae6c-efd4-4b27-8f25-a33c9d8fbaa0,"Solomon Islands: Tsunami warning after earthquake

SUBSCRIBE Invalid email We use your sign-up to provide content in ways you've consented to and to improve our understanding of you. This may include adverts from us and 3rd parties based on our understanding. You can unsubscribe at any time. More info

The earthquake measured a magnitude of 7.3 on the Richter scale which is classified as a major event and can cause damage to buildings which may collapse. With a quake of such magnitude, the effects may be felt up to 155 miles away from the epicentre.

The epicentre has been identified in the Solomon Sea, 58km (36 miles) southwest of Honiaram, Solomon Islands. With a depth reported by Volcano Discovery of up to 10km (6.2 miles), severe shaking was experienced at the epicentre. Following the tremor, US Tsunami Warning System has warned of a potential tsunami threat at the Solomon Islands.

Location of earthquake

#UPDATE A strong 7.0 magnitude earthquake has struck the Solomon Islands, with eyewitnesses reporting violent shaking that hurled items to the ground and knocked out power in parts of the capital Honiara.



A tsunami warning was issued for an area of the Solomons coast pic.twitter.com/9LqD49QmQf — AFP News Agency (@AFP) November 22, 2022

The tsunami warning was issued at 2:10am (UTC). The warning said that “hazardous tsunami waves [are] possible for coasts within 300 km of the quake epicentre”. According to SBS News, the Met Service for the Solomon Islands has since removed the tsunami warning. READ MORE: Prince Andrew and Harry will not stand in for King Charles

While it is thought that there are now no tsunami threats, it is warned that there will be “unusual sea currents” following the earthquake. Residents of the Solomon Islands have been urged to move to higher ground by the office of the Prime Minister. However, the office of the Prime Minister noted that there has been no severe damage to buildings in Honiara, the capital. The quake near Malango saw people report severe and violent shaking which knocked televisions and other household items onto the ground. DON'T MISS:

Trump wins vote...to be allowed back on Twitter (INSIGHT)

Research shows how much Brits' household energy habits are costing (REVEAL)

Donald Trump’s return to Twitter is a ‘victory for free speech’ (INSIGHT)

The Solomon Islands Met Service has now dropped the Tsunami warning. @SBSNews https://t.co/VUn8xIVC24 — Naveen Razik (@naveenjrazik) November 22, 2022

Trending"
a4a58485-dceb-4ed4-8fd1-268e9efd3867,"Drivers using one of Brisbane, Australia’s busiest roads over the weekend were left gobsmacked by a huge billboard displaying the home page of a porn website.

The crude scene on Milton Road was visible for more than three minutes on Sunday morning before being shut down by the owner of the billboard.

Cyber-hackers have been blamed for the rogue display, with the company saying it has handed over footage and images of individuals to police.

The billboard operates on a road travelled by parents dropping children at nearby Milton State School.

“At 9.23am [Sunday] morning, a single digital LED screen began to show inappropriate content of a pornographic nature,” the company said in a statement.

“The transmission of this material ran for between a number of seconds and up to 3½ minutes.”

No other goa billboards were affected by the breach, nor was the company’s security system, the company said.

Keep up with today's most important news Stay up on the very latest with Evening Update. Enter your email address Please provide a valid email address. By clicking above you agree to the Terms of Use and Privacy Policy. Thanks for signing up!

Never miss a story. Check out more newsletters

The police, according to goa managing director Chris Tyquin, were treating the incident as a “serious matter”.

Mr Tyquin said the company had not received any threats and it was currently unaware of the hackers’ motives.

He added the company regretted the display may have been offensive and distressing to members of the public, particularly children.

“As a family-owned business that has operated in Brisbane for in excess of 50 years, no manner or format of pornography is acceptable,” the company said.

“This attack on one of our LED screens was irresponsible, deliberate and malicious We

hope that Queensland Police can help bring the perpetrators to justice

“A crisis meeting involving senior management and relevant staff began immediately

as we became aware of this breach and is focused on the security across our entire

network. Further security measures began to be implemented last night.

“All other screens have been reconfirmed to be physically intact. Further, all

monitoring equipment of each site are working to expectations.”

An image of the billboard was shared to social media on Monday morning where it has since attracted a huge reaction.

Respondents were particularly concerned by the glaring cybersecurity issues in Australia, given recent major data breaches at Optus and Medibank.

“It’s genuinely depressing how bad data security is, even at the companies that try to do it right,” one person responded.

“People should not be subjected to seeing porn without their consent. If you walked up to a kid at the bus stop down from this billboard and showed them the same image you would be up for pedo charges, this is no different. I hope they are found and charged,” another said.

“I don’t think it’s funny to put porn up there – and quite dumb as well, as they’re now doubly offending. At least for the hack you can claim ‘ethical hacking’ and *maybe* get away with it when found out. For putting porn on a billboard, you might be in less easily avoidable trouble,” a third wrote."
0b8a2f0d-4f6e-4ab9-b0f3-be42f7356cbb,"A sneaky feline tried to have a little Thanksgiving getaway — until he was discovered by TSA agents.

The orange cat was discovered at New York’s John F. Kennedy International Airport on Tuesday morning after an agent spotted some orange hair poking out of the zipper of the suitcase.

A spokesperson for the Transportation Security Administration told The Post that the traveler was not aware that he had a cat in his luggage.

TSA spokesperson Lisa Farbstein said in a statement that the agent was “shocked” by the furry discovery in the luggage, which had been checked in and X-rayed.

“Traveler said the cat belonged to someone else in his household,” Farbstein explained.

In a picture accompanying the tweet, tufts of ginger fur were poking out of the black suitcase between the gaps of the orange zipper, which had come undone.

A cat named Smells was an unexpected stowaway at JFK. Shutterstock

Officials spotted ginger hair poking out from the suitcase’s zipper, which had been checked in for the flight. TSA

The airport X-ray scanner reveals the cat besides toiletries. TSA

“We’re letting the cat out of the bag on a hiss-toric find,” the agency wrote on Twitter. “This CATch had our baggage screening officers @JFKairport saying, ‘Come on meow’! Feline like you have travel questions reach out to our furiends @AskTSA. They’re available every day, from 8 a.m. – 6 p.m. (ET).”

Farbstein confirmed the cat didn’t belong to the traveler but was now back where it belonged: “On the bright side, the cat’s out of the bag and safely back home,” she joked.

Meanwhile, when tracked down by The Post, the kitty’s owner said the furball — named “Smells” — must have crawled into their house guest’s bag while she was at work. She didn’t realize the orange tabby was missing until she got a ring from an airport official.

The traveler was reportedly shocked after the cat was discovered in the luggage. TSA

The accidental stowaway — named Smells — strikes a pose for The Post. Submitted photo

“An officer called and asked if I wanted to press charges” against her guest, 37-year-old Brooklyn resident Alix — whose last name withheld for privacy reasons— told The Post. “He wanted to know if there was any reason he was trying to steal my cat and go to Florida.”

Authorities were ready to brand the man a catnapper and put him on the No Fly list but Alix reassured them it was a mistake. “Our cats really like to check out bags and boxes and apparently one of them climbed into his suitcase. It was just an accident,” the owner said.

Immediately after getting the call Alix’s fiancé got a car to JFK to rescue the frazzled feline — only to discover the cat was entirely unbothered by the ordeal.

“I was worried he’d be freaked out but he wasn’t even meowing on the way back,” she said. “I went to give him some extra treats and he acted like nothing had happened.”

“I was worried he’d be freaked out but he wasn’t even meowing on the way back,” Smells owner Alix told The Post. “I went to give him some extra treats and he acted like nothing had happened.” Courtesy Alix P.

TSA agents were “shocked” by the furry find. AP

Most American airlines allow cats and dogs to fly with their owners in the main cabin, providing they meet the size, age and destination requirements within the USA on flights up to 12 hours.

TSA agents are often treated to peculiar finds. Earlier this month, TSA agents in a Florida airport found a firearm stuffed inside a whole, uncooked chicken."
b71a7100-b19b-4b3e-807f-ecdeefed5ec8,"Yes, Surrey, Tom Cruise has arrived.

Cruise’s British commute is allegedly disrupting the filming of the BBC drama “Call the Midwife,” star Jenny Agutter claims in a new interview.

“Tom Cruise keeps on ruining our filming by landing his helicopter right outside where we’re shooting,” the 69-year-old actress told Mirror.

The “Top Gun” star, who holds a pilot license, reportedly flew his helicopter over the “Midwife” set in Surrey, England, causing quite the ruckus while the cast attempted to shoot scenes. Cruise appears to be in town filming “Mission: Impossible – Dead Reckoning Part Two.”

A rep for Cruise did not immediately return a Post request for comment. Agutter, who plays Sister Julienne, was asked if she’d give Cruise a talking-to about his allegedly rude chopper habits.

“In my habit! Imagine. ‘Excuse me, Tom, but look, we’re trying to film. I don’t know about you, but just get your helicopter out of here quickly!'” she quipped.

The acclaimed actor has a pilot license and his own chopper. The Asahi Shimbun via Getty Imag

Cruise is no stranger to the skies. In fact, he’s so agile in the air that he’s known for doing his own stunts in the “Top Gun” films.

Tom Cruise reportedly disrupted filming of a BBC drama series with the noises of his helicopter. ZUMAPRESS.com

“I always thought there’s something that I can do and I wanted to push the art form. I thought, ‘How can I immerse an audience into a movie with this kind of action? And how can I entertain them? What can I do?'” the 60-year-old actor said at this year’s Cannes Film Festival, detailing his obsession with risk-taking.

The “Top Gun” star might even become the first actor to film a blockbuster in space. The Asahi Shimbun via Getty Imag

The daredevil even touched down on the latest “Mission: Impossible” set in his own helicopter earlier this year and flew himself to the “Top Gun: Maverick” premiere.

Cruise has previously made headlines for detailing his risky stunts on set, which he says he does himself. The Asahi Shimbun via Getty Imag

Earth’s vanilla sky doesn’t appear to be enough for Cruise, who is aiming to become the first actor to shoot a movie in outer space — with the goal of filming on the International Space Station.

“I think Tom Cruise is taking us to space, he’s taking the world to space,” Universal Filmed Entertainment Group Chairman Donna Langley said, according to BBC News. “That’s the plan. We have a great project in development with Tom … Taking a rocket up to the Space Station and shooting.”"
060d4028-81e5-4fe0-8426-8c1c12eff19d,"The World Cup will now take place without one of soccer's best players, perhaps its best.

France's Karim Benzema tore a musle in his thigh in practice Saturday and will miss the tournament. The injury requires at least three weeks of recovery.

""I've never given up in my life, but tonight I have to think of the team, as I have always done,"" Benzema said on Instagram. ""So reason tells me to give my place to someone who can help our squad have a great World Cup. Thanks for all your messages of support.""

CLICK HERE FOR MORE SPORTS COVERAGE ON FOXNEWS.COM

""I am extremely sad for Karim, who had made this World Cup a major objective,"" coach Didier Deschamps said in a statement. ""Despite this new blow for the French team, I have full confidence in my group. We will do everything to meet the huge challenge that awaits us.""

Benzema won the 2022 Ballon d'Or, which is awarded to the top soccer player in the world annually. It will be the first World Cup since 1978 that won't feature the reigning Ballon d'Or winner, an award Lionel Messi has won a record seven times.

FIFA SHRUGS OFF NOTION THAT WORLD CUP ALCOHOL BAN IS AN INCONVENIENCE: 'YOU WILL LIVE'

France is the defending World Cup champion after taking down Croatia 4-2 in the 2018 final in Moscow. Benzema was left off that championship roster because he was the subject of a blackmailing scandal over an alleged recording of a sex video of fellow French player Mathieu Valbuena. Benzema was found guilty last November of conspiring to blackmail.

Benzema was also controversially left off the 2010 squad when he was in the middle of another sex scandal. Because of the blackmailing plot, he was left of the French national team until the 2020 Euros, which were played in the summer of 2021 due to COVID-19. He led the team in the tournament with four goals.

CLICK HERE TO GET THE FOX NEWS APP

The 34-year-old scored 27 goals in LaLiga and 15 in the Champions League, both league highs, for Real Madrid.

France's title defense begins Tuesday against Australia."
b74703cf-56db-485e-91eb-b6410f69d1f4,"Ronaldo has not shied away from making it public knowledge that he is desperate to cut short his homecoming. The Portugal international has insisted that he is being forced out the door at Old Trafford, and his criticisms of the club have only accelerated his exit plan.

According to The Mirror, the Red Devils were prepared to allow Ronaldo to leave in the January transfer window but now want the forward off of the books as soon as possible, relieving them of his £500,000-per-week wages. Though a worst-case scenario is potentially brewing, as Chelsea are waiting to reignite their interest in the former Juventus star. Todd Boehly wanted to mark his arrival at Stamford Bridge by signing Ronaldo, though Thomas Tuchel pulled the plug on the move.

But now the German has left, Chelsea remain keen on signing the five-time Ballon d’Or winner. United remain insistent on Ronaldo departing, though they will certainly want the forward to move abroad in hope that they do not rue the decision – but who could he join to please Erik ten Hag’s side?

MUST READ: World Cup sponsor Budweiser mock last-minute beer ban enforced at Qatar stadiums"
23e73fdd-c917-4fca-81cf-5bd1165715b3,"An Idaho prosecutor told reporters on Saturday that law enforcement is trying to ""expedite everything"" that could possibly lead to a suspect in the stabbing of four University of Idaho students.

Ethan Chapin, 20; Xana Kernodle, 20; Madison Mogen, 21; and Kaylee Goncalves, 21, were stabbed to death on early Sunday morning between 3 a.m. and 4:00 a.m. in a Moscow, Idaho, home near the college campus , according to the Moscow Police Department.

The victims were likely sleeping when they were stabbed multiple times, police said in a Friday press release.

""The coroner stated that the four victims were likely asleep, some had defensive wounds and each was stabbed multiple times. There was no sign of sexual assault,"" the Moscow Police Department said.

UNIVERSITY OF IDAHO MURDERS TIMELINE: WHAT WE KNOW ABOUT THE SLAUGHTER OF FOUR STUDENTS

Latah County Prosecuting Attorney Bill Thompson and the Federal Bureau of Investigation's Behavioral Analysis Unit entered the home on Saturday where the victims were killed.

When asked by a reporter if they're expediting the ""forensic testing of the items that have been seized,"" Thompson said that they are doing everything to possibly identify a suspect.

next Image 1 of 3

prev next Image 2 of 3

prev Image 3 of 3

""We're trying to expedite everything that might possibly lead to a suspect,"" Thompson said.

IDAHO UNIVERSITY MURDERS: PROSECUTOR SEEN ENTERING HOUSE WHERE FOUR STUDENTS WERE STABBED TO DEATH

Thompson also said that he wishes ""we had more answers,"" adding that he wants to help.

""It's difficult for everybody. Any time there's loss of life like this, particularly young people like this, it's horrible. And it's going to affect the community,"" Thompson said.

At the time of the attack on Sunday, there were two other roommates inside the residence, but police don't consider them suspects.

IDAHO UNIVERSITY MURDERS: INVESTIGATORS SEEN MEASURING TIRE MARKS AT HOUSE WHERE 4 STUDENTS WERE KILLED

Shortly before the attack, both Mogen and Goncalves were seen at the Grub Wandering Kitchen's food truck. The two were taken home by a ""private party,"" police said, but didn't add if the women knew the driver.

After initially describing the incident as an ""isolated, targeted attack"" with ""no imminent threat to the community at large,"" Moscow Police Department Chief James Fry shifted tune during a Wednesday night press conference.

""We do not have a suspect at this time, and we cannot say there is no threat to the community,"" Fry said. ""There is a threat out there, possibly.""

CLICK HERE TO GET THE FOX NEWS APP

""We need to be vigilant,"" Fry said. ""We need to watch out for our neighbors.""

Fox News' Audrey Conklin contributed to this report."
3c6e902e-f314-4294-a338-75515bd5abcd,"

Her body’s so sick — no believes she’s on track to becoming a doctor.

A fever-inducing med student named Jasmin has social media saying “Ahh” in shock, with her flawless face and hot physique leaving many people stunned that she’s pursuing a medical degree.

“If I got $1 every time they tell me I don’t look like a med student,” Jasmin, from Iran, penned in the closed captions of her viral TikTok about folks questioning her career path.

In the clip, which has garnered more than 176,000 views, the smoking-hot brunette, who’s studying to become an OB/GYN, is seen lip-syncing to Chris Brown and Lil Wayne’s 2014 hit “Loyal.” She empathized the lyrics “Just got rich,” intimating that she’d have a small fortune after collecting single dollars from her doubters.

Previous 1 of 3 Next Med student Jasmin is going viral for claiming haters insist that she's too pretty to be a doctor. Jasmin, who is studying to be an OB/GYN, says she'd be ""rich"" if she had a dollar for every time someone questioned her career choice. Jasmin often jokes that she has the ability to be hot in her personal life and skilled in her professional life.

Beneath both her TikTok and Instagram posts, shady cyber cynics have left cruel comments suggesting that all doctors should looks “old and miserable,” and that she’s too “cute” to fill the role.

But the criticisms haven’t deterred Jasmin, who’s currently in her final year of medical school, from striving after her white coat and stethoscope.

“Guess I am not allowed to take care of myself,” she sarcastically penned as the caption of the post, tacking on the hashtag #Stereotypes for added effect.

Previous 1 of 3 Next Supporters in Jasmin's TikTok comments said they, too, have been shamed for their good looks and polished jobs. Despite the shade, Jasmin continues to pursue her dream of becoming a doctor. Jasmin agreed with her supporters that it is possible for a woman to have beauty and brains.

However, amid the wave of flak, the dazzling doctor-to-be did received an outpouring of support from other medical professionals who also are forced to endure snide remarks from haters.

“Story of my life,” one future physician commented. “[People] automatically assume I’m a nurse.”

Another annoyed audience member asked: “What do med students exactly look like? Like are we a different breed or something? Comments like these irritate me.”

And an equally ticked-off viewer wrote, “When will people realize the whole beauty vs brains thing is a myth. [You] can be pretty AND smart,” to which Jasmin agreed, replying, “For real.”"
3b7a7280-f29f-4000-8c51-44f4126c24d8,"We use your sign-up to provide content in ways you've consented to and to improve our understanding of you. This may include adverts from us and 3rd parties based on our understanding. You can unsubscribe at any time. More info

Fans were devastated when iconic Australian soap Neighbours was axed earlier in the year. There was a petition for Channel 5 to save the soap but ultimately it came to an end in July. Now, it’s been revealed it will return to TV on Amazon Freevee.

Nick Knowles goes 'for a little cry' after DIY SOS special

The continuation of the long-running daily drama series about the lives, loves, and challenges of the residents on Ramsay Street in Erinsborough, will return.

Stefan Dennis as Paul Robinson, Alan Fletcher as Karl Kennedy, Ryan Moloney as Toadie Rebecchi, and Jackie Woodburne as Susan Kennedy reprise their roles.

The revitalised series will premiere exclusively for free on Amazon Freevee in the UK and U.S. and will include streaming rights to thousands of episodes from the previous seasons, available prior to the new series’ premiere.

The series will also stream on Prime Video in Australia, New Zealand, and Canada.

READ MORE: Dick Strawbridge’s son speaks out on half-siblings owning chateau"
