,neutral,clickbait,inflammatory
FAKENIX_geoengineeringwatch.org,-0.21612581838488426,0.2150991856323568,0.4290927143756346
FAKENIX_clickhole.com,-0.1425773909855823,-0.24362848577058926,-0.14923773589405795
FAKENIX_consciouslifenews.com,-0.09661925563765691,-0.2003237854618667,-0.12977359539886077
FAKENIX_intellihub.com,0.009843549421580078,-0.25366983392296316,-0.4927918642765761
FAKENIX_empirenews.net,-0.07938926322174572,-0.23178223627123293,0.018732474980127107
FAKENIX_thefreethoughtproject.com,-0.13825555370435216,-0.0545044249209537,-0.14961661422892544
FAKENIX_yournewswire.com,-0.04765589365853695,-0.23804150687515258,-0.23739116151565148
FAKENIX_react365.com,-0.03263063122931745,-0.1944323935060746,-0.594634472241449
FAKENIX_globalresearch.ca,-0.24789863897704728,-0.09295538388697094,-0.4551585983677025
FAKENIX_collective-evolution.com,-0.12691459059800175,-0.34749546842638435,-0.08661585498035324
FAKENIX_dcclothesline.com,0.03838418403349032,-0.27637048644873874,0.1459869335376758
FAKENIX_duffelblog.com,0.45046642116603897,0.45046642116603897,0.45046642116603897
FAKENIX_occupydemocrats.com,0.055701544904799456,-0.2546902714784237,-0.4154023480039127
FAKENIX_wnd.com,-0.13348474800693488,-0.08351301015592433,-0.04460762453500355
FAKENIX_twitchy.com,-0.07334958072770204,-0.14183891960970474,0.15831563331171322
FAKENIX_hangthebankers.com,0.01864178210658916,-0.24278786413175568,-0.530787764622168
FAKENIX_flyheight.com,-0.04750272180433507,-0.10448104775802226,0.2587266246908014
RNIX_theage.com.au,-0.11165393073762794,-0.10217192984123519,-0.15225812793725213
RNIX_adelaidenow.com.au,0.052875299928161146,-0.490930294211841,0.7033718929412665
RNIX_heraldsun.com.au,-0.006116538970746911,-0.1710135206090654,-0.3038249521342298
RNIX_crikey.com.au,-0.10449232766316961,-0.28741621428860575,-0.050016860996024606
RNIX_au.news.yahoo,-0.3507466477746791,-0.3600379453679971,-0.352418475471884
RNIX_thewest.com.au,-0.036602654908159116,0.13074426971359251,-0.18423046773266882
RNIX_themercury.com.au,0.021737884804365337,-0.521500443798405,0.4585163015998885
RNIX_afr.com,-0.13469265767405716,0.14471628659651958,0.12641302229096316
RNIX_9news.com.au,-0.10960231537496645,-0.24794858377831125,-0.19109121026397743
RNIX_huffingtonpost.com.au,-0.05585239089983002,-0.062377151526397556,-0.05598810324806184
RNIX_dailytelegraph.com.au,0.05577201781150318,-0.37336546272996196,-0.16597366828149934
RNIX_couriermail.com.au,0.5811203118841711,0.5811203118841711,0.5811203118841711
RNIX_brisbanetimes.com.au,-0.10041205174128798,-0.18932675809606758,0.1591104104065078
RNIX_independentaustralia.net,0.06129187030198131,-0.32462788785766095,-0.09914385322310254
RNIX_news.com.au,-0.10483593106577933,-0.10738703516729706,-0.19769064956087778
RNIX_ntnews.com.au,0.5270326519165136,0.5270326519165136,0.5270326519165136
RNIX_theaustralian.com.au,0.06775197943090641,-0.2015192720987946,-0.35488015781807947
RNIX_perthnow.com.au,-0.07878010003531741,-0.24194466977826817,-0.11718407340429308
RNIX_newmatilda.com,-0.05373403601007661,-0.06167117493085514,-0.054895280708429146
RNIX_canberratimes.com.au,-0.08353049916584689,-0.1238717886021019,-0.11785574634458978
RNIX_skynews.com.au,-0.06725769142907992,-0.14539394640522119,0.04617432737596321
RNIX_watoday.com.au,-0.12424079797792005,-0.2861522822303373,-0.3105760299527303
RNIX_thesaturdaypaper.com.au,-0.1004780002577498,0.02876192505180198,0.13237580613739908
